id,receipt_number,store_name,store_id,ticket_amount,print_time,processing_date,created_at,updated_at,source_file_path,original_filename
2672,250729#287011,eat n work,302596,928.00,2025-07-30T03:53:00,2025-07-30,2025-07-29T23:34:55.049476,2025-07-29T23:34:55.049476,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287011.json,250729__HASH__287011.json
2673,250729#287013,eat n work,302596,1718.00,2025-07-30T05:23:42,2025-07-30,2025-07-29T23:34:55.060162,2025-07-29T23:34:55.060162,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287013.json,250729__HASH__287013.json
2674,250729#287014,eat n work,302596,214.00,2025-07-30T03:59:12,2025-07-30,2025-07-29T23:34:55.070017,2025-07-29T23:34:55.070017,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287014.json,250729__HASH__287014.json
2675,250729#287015,eat n work,302596,2156.00,2025-07-30T05:18:12,2025-07-30,2025-07-29T23:34:55.079641,2025-07-29T23:34:55.079641,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287015.json,250729__HASH__287015.json
2676,250729#287016,eat n work,302596,706.00,2025-07-30T05:19:18,2025-07-30,2025-07-29T23:34:55.089469,2025-07-29T23:34:55.089469,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287016.json,250729__HASH__287016.json
2677,250729#287017,eat n work,302596,624.00,2025-07-30T04:29:58,2025-07-30,2025-07-29T23:34:55.099159,2025-07-29T23:34:55.099159,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287017.json,250729__HASH__287017.json
2678,250729#287018,eat n work,302596,196.00,2025-07-30T04:24:26,2025-07-30,2025-07-29T23:34:55.108772,2025-07-29T23:34:55.108772,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287018.json,250729__HASH__287018.json
2679,250729#287019,eat n work,302596,598.00,2025-07-30T03:58:06,2025-07-30,2025-07-29T23:34:55.119472,2025-07-29T23:34:55.119472,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287019.json,250729__HASH__287019.json
2680,250729#287020,eat n work,302596,2750.00,2025-07-30T05:48:44,2025-07-30,2025-07-29T23:34:55.131453,2025-07-29T23:34:55.131453,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287020.json,250729__HASH__287020.json
2681,250729#287021,eat n work,302596,174.00,2025-07-30T04:48:18,2025-07-30,2025-07-29T23:34:55.146683,2025-07-29T23:34:55.146683,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287021.json,250729__HASH__287021.json
2682,250729#287023,eat n work,302596,176.00,2025-07-30T04:51:12,2025-07-30,2025-07-29T23:34:55.159297,2025-07-29T23:34:55.159297,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287023.json,250729__HASH__287023.json
2683,250729#287024,eat n work,302596,246.00,2025-07-30T04:50:46,2025-07-30,2025-07-29T23:34:55.174763,2025-07-29T23:34:55.174763,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287024.json,250729__HASH__287024.json
2684,250729#287025,eat n work,302596,312.00,2025-07-30T05:05:22,2025-07-30,2025-07-29T23:34:55.189185,2025-07-29T23:34:55.189185,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287025.json,250729__HASH__287025.json
2685,250729#287026,eat n work,302596,1350.00,2025-07-30T05:21:08,2025-07-30,2025-07-29T23:34:55.203847,2025-07-29T23:34:55.203847,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287026.json,250729__HASH__287026.json
2686,250729#287027,eat n work,302596,1650.00,2025-07-30T06:29:08,2025-07-30,2025-07-29T23:34:55.218761,2025-07-29T23:34:55.218761,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287027.json,250729__HASH__287027.json
2687,250729#287029,eat n work,302596,604.00,2025-07-30T05:19:54,2025-07-30,2025-07-29T23:34:55.233336,2025-07-29T23:34:55.233336,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287029.json,250729__HASH__287029.json
2688,250729#287030,eat n work,302596,2321.00,2025-07-30T06:43:08,2025-07-30,2025-07-29T23:34:55.245475,2025-07-29T23:34:55.245475,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287030.json,250729__HASH__287030.json
2689,250729#287031,eat n work,302596,178.00,2025-07-30T06:03:58,2025-07-30,2025-07-29T23:34:55.258964,2025-07-29T23:34:55.258964,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287031.json,250729__HASH__287031.json
2690,250729#287034,eat n work,302596,522.00,2025-07-30T05:21:42,2025-07-30,2025-07-29T23:34:55.272637,2025-07-29T23:34:55.272637,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287034.json,250729__HASH__287034.json
2691,250729#287035,eat n work,302596,1857.00,2025-07-30T05:46:30,2025-07-30,2025-07-29T23:34:55.288338,2025-07-29T23:34:55.288338,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287035.json,250729__HASH__287035.json
2692,250729#287036,eat n work,302596,206.00,2025-07-30T05:28:38,2025-07-30,2025-07-29T23:34:55.301682,2025-07-29T23:34:55.301682,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287036.json,250729__HASH__287036.json
2693,250729#287038,eat n work,302596,244.00,2025-07-30T06:06:28,2025-07-30,2025-07-29T23:34:55.314761,2025-07-29T23:34:55.314761,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287038.json,250729__HASH__287038.json
2694,250729#287039,eat n work,302596,632.00,2025-07-30T06:19:44,2025-07-30,2025-07-29T23:34:55.327976,2025-07-29T23:34:55.327976,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287039.json,250729__HASH__287039.json
2695,250729#287040,eat n work,302596,1100.00,2025-07-30T06:50:04,2025-07-30,2025-07-29T23:34:55.340309,2025-07-29T23:34:55.340309,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287040.json,250729__HASH__287040.json
2696,250729#287041,eat n work,302596,176.00,2025-07-30T06:01:46,2025-07-30,2025-07-29T23:34:55.351566,2025-07-29T23:34:55.351566,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287041.json,250729__HASH__287041.json
2697,250729#287042,eat n work,302596,,2025-07-30T05:38:46,2025-07-30,2025-07-29T23:34:55.364449,2025-07-29T23:34:55.364449,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287042.json,250729__HASH__287042.json
2698,250729#287043,eat n work,302596,720.00,2025-07-30T05:38:30,2025-07-30,2025-07-29T23:34:55.377121,2025-07-29T23:34:55.377121,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287043.json,250729__HASH__287043.json
2699,250729#287044,eat n work,302596,1530.00,2025-07-30T06:18:00,2025-07-30,2025-07-29T23:34:55.389243,2025-07-29T23:34:55.389243,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287044.json,250729__HASH__287044.json
2700,250729#287045,eat n work,302596,560.00,2025-07-30T06:28:40,2025-07-30,2025-07-29T23:34:55.403001,2025-07-29T23:34:55.403001,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287045.json,250729__HASH__287045.json
2701,250729#287046,eat n work,302596,698.00,2025-07-30T06:39:46,2025-07-30,2025-07-29T23:34:55.415456,2025-07-29T23:34:55.415456,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287046.json,250729__HASH__287046.json
2702,250729#287047,eat n work,302596,900.00,2025-07-30T06:38:50,2025-07-30,2025-07-29T23:34:55.427050,2025-07-29T23:34:55.427050,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287047.json,250729__HASH__287047.json
2703,250729#287048,eat n work,302596,264.00,2025-07-30T07:14:06,2025-07-30,2025-07-29T23:34:55.438481,2025-07-29T23:34:55.438481,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287048.json,250729__HASH__287048.json
2704,250729#287049,eat n work,302596,,2025-07-30T06:35:14,2025-07-30,2025-07-29T23:34:55.449879,2025-07-29T23:34:55.449879,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__287049.json,250729__HASH__287049.json
2705,250729#548,LINLEE,305215,19.00,2025-07-30T00:06:49,2025-07-30,2025-07-29T23:34:55.460776,2025-07-29T23:34:55.460776,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__548.json,250729__HASH__548.json
2706,250729#549,LINLEE,305215,23.00,2025-07-30T00:17:31,2025-07-30,2025-07-29T23:34:55.471597,2025-07-29T23:34:55.471597,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__549.json,250729__HASH__549.json
2707,250729#550,LINLEE,305215,,2025-07-30T00:24:16,2025-07-30,2025-07-29T23:34:55.483936,2025-07-29T23:34:55.483936,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__550.json,250729__HASH__550.json
2708,250729#551,LINLEE,305215,,2025-07-30T00:25:54,2025-07-30,2025-07-29T23:34:55.494943,2025-07-29T23:34:55.494943,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__551.json,250729__HASH__551.json
2709,250729#552,LINLEE,305215,50.00,2025-07-30T00:57:06,2025-07-30,2025-07-29T23:34:55.505512,2025-07-29T23:34:55.505512,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__552.json,250729__HASH__552.json
2710,250729#553,LINLEE,305215,19.00,2025-07-30T01:15:20,2025-07-30,2025-07-29T23:34:55.516612,2025-07-29T23:34:55.516612,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__553.json,250729__HASH__553.json
2711,250729#554,LINLEE,305215,9.90,2025-07-30T01:53:35,2025-07-30,2025-07-29T23:34:55.527896,2025-07-29T23:34:55.527896,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__554.json,250729__HASH__554.json
2712,250729#556,LINLEE,305215,,2025-07-30T02:05:41,2025-07-30,2025-07-29T23:34:55.538221,2025-07-29T23:34:55.538221,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__556.json,250729__HASH__556.json
2713,250729#557,LINLEE,305215,24.00,2025-07-30T02:12:38,2025-07-30,2025-07-29T23:34:55.549465,2025-07-29T23:34:55.549465,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__557.json,250729__HASH__557.json
2714,250729#558,LINLEE,305215,64.00,2025-07-30T02:15:42,2025-07-30,2025-07-29T23:34:55.560913,2025-07-29T23:34:55.560913,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__558.json,250729__HASH__558.json
2715,250729#559,LINLEE,305215,23.00,2025-07-30T02:47:14,2025-07-30,2025-07-29T23:34:55.571485,2025-07-29T23:34:55.571485,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__559.json,250729__HASH__559.json
2716,250729#560,LINLEE,305215,36.00,2025-07-30T03:00:55,2025-07-30,2025-07-29T23:34:55.582347,2025-07-29T23:34:55.582347,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__560.json,250729__HASH__560.json
2717,250729#561,LINLEE,305215,17.00,2025-07-30T03:40:41,2025-07-30,2025-07-29T23:34:55.593684,2025-07-29T23:34:55.593684,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__561.json,250729__HASH__561.json
2718,250729#562,LINLEE,305215,17.00,2025-07-30T04:08:29,2025-07-30,2025-07-29T23:34:55.604493,2025-07-29T23:34:55.604493,C:\Point Detection\worker\data\converted_tz\2025-07-30\250729__HASH__562.json,250729__HASH__562.json
